No,物件種目,住所,登録価格（万円）,成約価格（万円）,交通,土地権利,建ぺい率,用途地域,坪単価（万円）,容積率,土地面積（㎡）,土地面積（坪）,公開日,成約日,私道面積,私道持分,条件,latitude,longitude
617,売地,磐田市匂坂上153番4,125.0,100.0,東海道本線,所有権,60,無指定,2.0,200,206.63,62,2024/11/29,2025/1/8,-,-,現況渡し,34.7734446,137.8337584
618,売地,磐田市匂坂新374-3,1360.0,1360.0,東海道本線,所有権,50,無指定,13.7,80,332.59,99,2023/11/16,2023/12/13,-,-,更地渡し,34.7568913,137.8386133
619,売地,磐田市匂坂中1010-3,1225.0,1225.0,東海道本線/バス停,所有権,50,無指定,10.7,80,384.37,114,2023/2/25,2023/4/14,-,-,現況渡し,34.7651065,137.8302967
667,売地,磐田市福田119-2,600.0,500.0,東海道本線,所有権,50,-,8.1,80,248.04,74,2024/7/30,2024/9/8,-,-,現況渡し,34.6826266,137.8858252
671,売地,磐田市福田1737-1,1070.0,823.0,バス停,所有権,60,１種住居,9.5,200,377.42,112,2023/1/11,2023/5/2,-,-,現況渡し,34.6693172,137.8850309
666,売地,磐田市福田4154-1,408.0,408.0,バス停,所有権,60,１種住居,8.1,200,168.57,50,2023/7/28,2023/8/23,-,-,現況渡し,34.6693172,137.8850309
672,売地,磐田市福田59-1,1300.0,1100.0,東海道本線,所有権,60,１種住居,5.3,200,823.0,245,2024/1/31,2024/3/15,-,-,相談,34.6693172,137.8850309
670,売地,磐田市福田671-1,800.0,800.0,東海道本線,所有権,60,１種住居,6.0,200,447.89,133,2024/1/31,2024/3/7,-,-,現況渡し,34.6802256,137.8784495
668,売地,磐田市福田字本田西５８４－１,670.0,670.0,東海道本線/バス停/バス停,所有権,60,１種住居,4.1,200,553.86,165,2024/2/20,2024/4/10,-,-,現況渡し,34.6693172,137.8850309
669,売地,磐田市福田字本田西584-1,670.0,670.0,東海道本線/バス停,所有権,60,１種住居,4.1,200,553.86,165,2024/1/18,2024/4/10,-,-,現況渡し,34.6693172,137.8850309
673,売地,磐田市福田中島1595他4筆,400.0,350.0,東海道本線,所有権,60,１種住居,6.1,200,220.0,66,2023/10/14,2024/1/9,-,-,相談,34.6736592,137.8699039
675,売地,磐田市福田中島1604-2,1060.0,750.0,東海道本線,所有権,60,１種住居,14.1,200,253.0,75,2024/1/31,2024/3/15,-,-,現況渡し,34.6747768,137.8742076
676,売地,磐田市福田中島216番他第3画地,1090.0,1090.0,東海道本線/バス停/バス停,所有権,60,１種住居,17.9,200,205.0,61,2024/5/13,2024/5/31,-,-,更地渡し,34.6736592,137.8699039
677,売地,磐田市福田中島808-1,1200.0,1200.0,バス停,所有権,60,１種住居,5.1,200,793.21,236,2024/5/7,2024/5/28,-,-,更地渡し,34.6775127,137.8757545
674,売地,磐田市福田中島887,1.0,600.0,東海道本線,所有権,60,１種住居,0.0,200,250.94,75,2023/3/15,2023/4/3,-,-,現況渡し,34.6777766,137.8722495
660,売地,磐田市豊岡,680.0,470.0,バス停/バス停,所有権,50,１種低層,11.4,80,200.03,60,2024/8/26,2024/9/17,-,-,更地渡し,34.6857988,137.8044624
661,売地,磐田市豊岡,1080.0,1030.0,東海道本線,所有権,-,-,5.8,-,630.26,188,2024/11/12,2024/11/27,-,-,現況渡し,34.6857988,137.8044624
659,売地,磐田市豊岡4474-6他,580.0,580.0,東海道本線,所有権,60,-,9.3,150,208.76,62,2025/1/13,2025/3/7,-,-,建築条件付,34.6783358,137.814419
662,売地,磐田市豊岡金洗5906-4,850.0,850.0,東海道本線,所有権,60,１種住居,22.3,200,128.03,38,2024/11/7,2024/11/29,-,-,現況渡し,34.6721401,137.8119102
663,売地,磐田市豊田10-3,1050.0,1050.0,東海道本線/バス停,所有権,50,無指定,19.4,80,181.63,54,2023/6/19,2023/9/10,-,-,更地渡し,34.7462629,137.8351098
664,売地,磐田市豊田185-5,1150.0,1100.0,東海道本線,所有権,50,-,14.8,80,261.69,78,2024/9/29,-,-,-,現況渡し,34.7428119,137.8333139
